File,SizeBytes,RoundsPerBlock,Blocks,MeanMs,MedianMs,StddevMs,CILowMs,CIHighMs,ThroughputMBps
1kb.bin,1024,1000,10,3959.38,3948.26,102.404,3886.13,4032.63,0.246645
100kb.bin,102400,1000,10,4035.56,4031.34,64.9736,3989.09,4082.04,24.1989
1mb.bin,1048576,1000,10,5890.05,5875.38,109.369,5811.82,5968.28,169.778

Block,File,SizeBytes,RoundsPerBlock,Operation,BlockTimeMs
1,1kb.bin,1024,1000,enc+dec,3842.28
2,1kb.bin,1024,1000,enc+dec,3946.98
3,1kb.bin,1024,1000,enc+dec,3784.45
4,1kb.bin,1024,1000,enc+dec,3949.54
5,1kb.bin,1024,1000,enc+dec,4040.78
6,1kb.bin,1024,1000,enc+dec,4106.28
7,1kb.bin,1024,1000,enc+dec,4066.53
8,1kb.bin,1024,1000,enc+dec,4033.86
9,1kb.bin,1024,1000,enc+dec,3913.11
10,1kb.bin,1024,1000,enc+dec,3909.95
1,100kb.bin,102400,1000,enc+dec,4076.07
2,100kb.bin,102400,1000,enc+dec,3964.81
3,100kb.bin,102400,1000,enc+dec,3984.32
4,100kb.bin,102400,1000,enc+dec,4037.58
5,100kb.bin,102400,1000,enc+dec,4071.22
6,100kb.bin,102400,1000,enc+dec,3982.8
7,100kb.bin,102400,1000,enc+dec,3962.83
8,100kb.bin,102400,1000,enc+dec,4025.09
9,100kb.bin,102400,1000,enc+dec,4164.83
10,100kb.bin,102400,1000,enc+dec,4086.08
1,1mb.bin,1048576,1000,enc+dec,5958.07
2,1mb.bin,1048576,1000,enc+dec,5719.44
3,1mb.bin,1048576,1000,enc+dec,5902.94
4,1mb.bin,1048576,1000,enc+dec,5905.18
5,1mb.bin,1048576,1000,enc+dec,5805.4
6,1mb.bin,1048576,1000,enc+dec,5847.81
7,1mb.bin,1048576,1000,enc+dec,5810.54
8,1mb.bin,1048576,1000,enc+dec,5846.21
9,1mb.bin,1048576,1000,enc+dec,6010.19
10,1mb.bin,1048576,1000,enc+dec,6094.74
